maxVmag_counts,maxVmag_g,xValue_counts,yValue_counts,zValue_counts,xValue_g,yValue_g,zValue_g,maxVmagTime,meanVmag_counts,meanVmag_g,sta,staIndex,startTimeFile,Category,Round,Heat,Day
5352.886885,1.30685715,1207,-4593,-2470,0.294677734,-1.121337891,-0.603027344,2019-04-28T16:31:12.531000Z,146.220745,0.035698424,NR,2,2019-04-28T16:30:52Z,Funny Car,E1,Heat 3,Saturday
2860.366742,0.698331724,1721.1339,-1297,-1880.741077,0.420198706,-0.316650391,-0.459165302,2019-04-28T16:31:13.144500Z,120.7438498,0.029478479,FR,3,2019-04-28T16:30:52Z,Funny Car,E1,Heat 3,Saturday
3482.072664,0.850115397,511.7279766,856,-3336.199712,0.124933588,0.208984375,-0.814501883,2019-04-28T16:35:21.298100Z,141.6739938,0.034588377,FL,0,2019-04-28T16:35:00Z,Funny Car,E1,Heat 4,Saturday
8391.842289,2.048789621,1576,7621,3140,0.384765625,1.860595703,0.766601563,2019-04-28T16:35:21.016700Z,149.8365836,0.036581197,NL,1,2019-04-28T16:35:00Z,Funny Car,E1,Heat 4,Saturday
6443.445972,1.573106927,4178,3946,-2914,1.020019531,0.963378906,-0.711425781,2019-04-28T16:35:20.781000Z,145.5218391,0.035527793,NR,2,2019-04-28T16:35:00Z,Funny Car,E1,Heat 4,Saturday
1295.673719,0.316326592,1100.761127,-586,-351.7091537,0.268740509,-0.143066406,-0.085866493,2019-04-28T16:35:20.804500Z,114.1299414,0.027863755,FR,3,2019-04-28T16:35:00Z,Funny Car,E1,Heat 4,Saturday
3031.393591,0.740086326,104.2250582,-3021,228.1298705,0.025445571,-0.737548828,0.055695769,2019-04-28T18:28:22.343100Z,141.799681,0.034619063,FL,0,2019-04-28T18:28:04Z,Funny Car,E2,Heat 1,Saturday
10043.33729,2.451986644,3932,-8384,-3888,0.959960938,-2.046875,-0.94921875,2019-04-28T18:28:21.909400Z,166.1366911,0.040560716,NL,1,2019-04-28T18:28:04Z,Funny Car,E2,Heat 1,Saturday
9080.523168,2.216924602,2029,-1974,-8628,0.495361328,-0.481933594,-2.106445313,2019-04-28T18:28:21.842200Z,172.6028185,0.04213936,NR,2,2019-04-28T18:28:04Z,Funny Car,E2,Heat 1,Saturday
2670.823115,0.652056425,-1023.772278,981,2263.365953,-0.249944404,0.239501953,0.552579578,2019-04-28T18:28:22.402600Z,124.1128287,0.030300984,FR,3,2019-04-28T18:28:04Z,Funny Car,E2,Heat 1,Saturday
3070.832245,0.749714903,1203.013168,-1516,-2384.221884,0.293704387,-0.370117188,-0.582085421,2019-04-28T18:32:09.358100Z,139.7735941,0.034124413,FL,0,2019-04-28T18:31:52Z,Funny Car,E2,Heat 2,Saturday
7279.267614,1.777164945,-1577,5518,-4478,-0.385009766,1.347167969,-1.093261719,2019-04-28T18:32:08.919400Z,159.5315789,0.038948139,NL,1,2019-04-28T18:31:52Z,Funny Car,E2,Heat 2,Saturday
6990.169883,1.706584444,1873,-4739,-4785,0.457275391,-1.156982422,-1.168212891,2019-04-28T18:32:08.872200Z,167.1063412,0.040797447,NR,2,2019-04-28T18:31:52Z,Funny Car,E2,Heat 2,Saturday
2341.990866,0.571775114,-1823.005235,625,1330.769749,-0.445069638,0.152587891,0.324894958,2019-04-28T18:32:08.927600Z,124.4341911,0.030379441,FR,3,2019-04-28T18:31:52Z,Funny Car,E2,Heat 2,Saturday
2174.128897,0.530793188,-1782.058893,1156,-463.4291332,-0.435072972,0.282226563,-0.113141878,2019-04-28T20:18:23.718900Z,140.1282709,0.034211004,FL,0,2019-04-28T20:18:06Z,Funny Car,Final,Heat 1,Saturday
8434.085368,2.059102873,-5208,6634,24,-1.271484375,1.619628906,0.005859375,2019-04-28T20:18:23.262200Z,160.6065675,0.039210588,NL,1,2019-04-28T20:18:06Z,Funny Car,Final,Heat 1,Saturday
7879.629496,1.92373767,79,-6592,-4316,0.019287109,-1.609375,-1.053710938,2019-04-28T20:18:23.682700Z,169.5052263,0.041383112,NR,2,2019-04-28T20:18:06Z,Funny Car,Final,Heat 1,Saturday
2806.774726,0.685247736,-2365.643077,-422,1450.390703,-0.577549579,-0.103027344,0.354099293,2019-04-28T20:18:23.730300Z,127.9673893,0.031242038,FR,3,2019-04-28T20:18:06Z,Funny Car,Final,Heat 1,Saturday
2601.913681,0.635232832,255.7375258,-442,-2551.311255,0.062435919,-0.107910156,-0.622878724,2019-04-28T16:04:42.858100Z,137.7473745,0.03362973,FL,0,2019-04-28T16:04:29Z,Top Fuel,E1,Heat 1,Saturday
10347.04489,2.526134007,2363,9313,3840,0.576904297,2.273681641,0.9375,2019-04-28T16:04:42.566700Z,154.4675461,0.037711803,NL,1,2019-04-28T16:04:29Z,Top Fuel,E1,Heat 1,Saturday
8952.735504,2.185726441,-2888,-5255,-6648,-0.705078125,-1.282958984,-1.623046875,2019-04-28T16:04:42.081000Z,162.636473,0.03970617,NR,2,2019-04-28T16:04:29Z,Top Fuel,E1,Heat 1,Saturday
